objectid,subject,filename,title,format,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5
8404201529,HSC,demo_001.jpg,EASTERN STATE PENITENTIARY HISTORIC SITE,image/jpeg,EASTERN STATE PENITENTIARY HISTORIC SITE INC,EASTERN STATE PENITENTIARY HISTORIC SITE,,2027 FAIRMOUNT AVE,PHILADELPHIA,PA,19130-2610,19130,,,,,,2155646377,HTTP://WWW.EASTERNSTATE.ORG,EASTERN STATE PENITENTIARY HISTORIC SITE INC,201312,7,7023206,4782773,2027 FAIRMOUNT AVE,PHILADELPHIA,PA,19130-2610,199901,,,,,-75.17085,39.96735,2,2,1,42,101,2027 FAIRMOUNT AVE,PHILADELPHIA,PA,19130-2610,19130
8404201543,HSC,demo_001.jpg,EAST FALLS HISTORICAL SOCIETY,image/jpeg,EAST FALLS HISTORICAL SOCIETY,,,3304 W QUEEN LANE,PHILADELPHIA,PA,19129,19129,,,,,,2158488396,HTTP://EASTFALLSHISTORICALSOCIETY.COM,EAST FALLS HISTORICAL SOCIETY,201404,0,0,0,3304 W QUEEN LN,PHILADELPHIA,PA,19129-1410,200604,,,,,-75.18782,40.01506,2,2,1,42,101,3304 W QUEEN LN,PHILADELPHIA,PA,19129-1410,19129
8404201551,HSC,demo_001.jpg,USS OLYMPIA,image/jpeg,FRIENDS OF THE CRUISER OLYMPIA INC,,,TWO PENN CENTER PLAZA STE 200,PHILADELPHIA,PA,19102-1754,19102,,,,,,,,,,,,,,,,,,,,,,-75.16508,39.95351,2,2,1,42,101,TWO PENN CENTER PLAZA STE 200,PHILADELPHIA,PA,19102-1754,19102
8404201555,HSC,demo_001.jpg,KELPUIS SOCIETY,image/jpeg,KELPUIS SOCIETY,,,PO BOX 15775,PHILADELPHIA,PA,19103-0775,19103,,,,,,,HTTP://KELPIUS.ORG/,KELPUIS SOCIETY,201412,0,0,0,PO BOX 15775,PHILADELPHIA,PA,19103-0775,200607,,,,,-75.17835,39.94712,2,2,1,42,101,PO BOX 15775,PHILADELPHIA,PA,19103-0775,19103
8404201556,HSC,demo_001.jpg,WASHINGTON WEST SQUARE HISTORIC DISTRICT,image/jpeg,WASHINGTON WEST SQUARE HISTORIC DISTRICT,,,345 SOUTH CAMAC STREET,PHILADELPHIA,PA,19107-5941,19107,,,,,,,,WASHINGTON WEST SQUARE HISTORIC DISTRICT,201412,0,0,0,345 S CAMAC ST,PHILADELPHIA,PA,19107-5941,200702,,,,,-75.16197,39.9454,2,2,1,42,101,345 S CAMAC ST,PHILADELPHIA,PA,19107-5941,19107
8404201594,HSC,demo_001.jpg,INDIAN RIVER COMMUNITY ASSOCIATION,image/jpeg,INDIAN RIVER COMMUNITY ASSOCIATION INC,,,303 CHERRY ST,PHILADELPHIA,PA,19106-1803,19106,,,,,,,,INDIAN RIVER COMMUNITY ASSOCIATION INC,,0,,,303 CHERRY ST,PHILADELPHIA,PA,19106-1803,201310,,,,,-75.14555,39.95326,2,2,1,42,101,303 CHERRY ST,PHILADELPHIA,PA,19106-1803,19106
8404201599,HSC,demo_001.jpg,QUESTERS,image/jpeg,QUESTERS INC,,,210 S QUINCE ST,PHILADELPHIA,PA,19107-5534,19107,,,,,,2159235183,HTTP://WWW.QUESTERS1944.ORG,QUESTERS INC,201405,4,339793,336704,210 S QUINCE ST,PHILADELPHIA,PA,19107-5534,196703,,,,,-75.15994,39.9483,2,2,1,42,101,210 S QUINCE ST,PHILADELPHIA,PA,19107-5534,19107
8404201606,HSC,demo_001.jpg,HISTORIAL SOCIETY OF DEL TW HFB,image/jpeg,HISTORIAL SOCIETY OF DEL TW HFB,,,1600 MARKET ST TAX DEAPARTMENT,PHILADELPHIA,PA,19103-7240,19103,,,,,,,,HISTORIAL SOCIETY OF DEL TW HFB,201312,4,278589,68922,1600 MARKET ST TAX DEAPA,PHILADELPHIA,PA,19103-7240,197306,,,,,-75.17835,39.94712,2,2,1,42,101,1600 MARKET ST TAX DEAPA,PHILADELPHIA,PA,19103-7240,19103
8404201667,HSC,demo_001.jpg,PARK HOUSE GUIDES AT THE PHILADELPHIA MUSEUM OF ART,image/jpeg,PARK HOUSE GUIDES AT THE PHILADELPHIA MUSEUM OF ART,,,2601 BEN FRANKLIN PARKWAY,PHILADELPHIA,PA,19130,19130,,,,,,2156847990,HTTP://WWW.PHILAMUSEUM.ORG/,PARK HOUSE GUIDES AT THE PHILADELPHIA MUSEUM OF ART,201406,0,0,0,201 W EVERGREEN AVE APT,PHILADELPHIA,PA,19118-3830,201210,,,,,-75.20656,40.0777,2,2,1,42,101,201 W EVERGREEN AVE APT,PHILADELPHIA,PA,19118-3830,19118
8404201689,HSC,demo_001.jpg,CARLOS ALZUETA MEMORIAL FUND WELLS FARGO BANKNA TRUSTEE,image/jpeg,THE CARLOS ALZUETA MEMORIAL FUND WELLS FARGO BANKNA TRUSTEE,,THE CARLOS ALZUETA MEMORIAL FUND WELLS FARGO BANKNA TRUSTEE,101N INDEPENDENCE MALL,PHILADELPHIA,PA,19106,19106,,,,,,2159731754,HTTPS://WWW.WFHM.COM/LOANS/METROBUILDERPABRANCHPA/INDEX.PAGE,THE CARLOS ALZUETA MEMORIAL FUND WELLS FARGO BANKNA TRUSTEE,201410,4,264818,,1 W 4TH ST 4TH FL,WINSTON SALE,NC,27101-3818,199706,,,,,-80.24402,36.09862,3,5,1,37,67,1 W 4TH ST 4TH FL,WINSTON SALE,NC,27101-3818,27101
8404201690,HSC,demo_001.jpg,SANTA BARBARA HISTORICAL SOCIETY,image/jpeg,SANTA BARBARA HISTORICAL SOCIETY ENDOWMENT FUND,,,101N INDEPENDENCE MALL E,PHILADELPHIA,PA,19106,19106,,,,,,,,SANTA BARBARA HISTORICAL SOCIETY ENDOWMENT FUND,201409,4,423656,59050,1 W 4TH ST 4TH FL MAC D4,WINSTON SALE,NC,27101-3818,197204,,,,,-80.24443,36.09848,3,5,1,37,67,1 W 4TH ST 4TH FL MAC D4,WINSTON SALE,NC,27101-3818,27101
8404201729,HSC,demo_001.jpg,INDEPENDENCE NATIONAL HISTORICAL PARK,image/jpeg,INDEPENDENCE NATIONAL HISTORICAL PARK,,,143 S 3RD STREET,PHILADELPHIA,PA,19106,19106,,,,,,2155979373,,,,,,,,,,,,,,,,-75.14607,39.94796,2,2,1,42,101,143 S 3RD STREET,PHILADELPHIA,PA,19106,19106
8404200072,ART,demo_001.jpg,OLD CITY JEWISH ARTS CENTER,image/jpeg,OLD CITY JEWISH ARTS CENTER,,,119 N 3RD ST,PHILADELPHIA,PA,19106,19106,,,,,,2159231222,HTTP://WWW.JEWISHARTCENTER.COM/CGI-SYS/SUSPENDEDPAGE.CGI,,,,,,,,,,,,,,,-75.14503,39.95267,2,2,1,42,101,119 N 3RD ST,PHILADELPHIA,PA,19106,19106
8404200167,ZAW,demo_001.jpg,INSECTARIUM,image/jpeg,INSECTARIUM,,,8046 FRANKFORD AVE,PHILADELPHIA,PA,19136,19136,,,,,,2153359500,HTTP://INSECTARIUMINSTITUTE.COM/,,,,,,,,,,,,,,,-75.02717,40.04221,2,2,1,42,101,8046 FRANKFORD AVE,PHILADELPHIA,PA,19136,19136
8404200194,HST,demo_001.jpg,GLEN FOERD ON THE DELAWARE,image/jpeg,GLEN FOERD CONSERVATION CORP,,,5001 GRANT AVENUE,PHILADELPHIA,PA,19114,19114,,,,,,2156325330,HTTP://WWW.GLENFOERD.ORG,GLEN FOERD CONSERVATION CORP,201312,4,318500,311882,5001 GRANT AVE,PHILADELPHIA,PA,19114-3154,198603,,,,,-74.98141,40.05178,2,2,1,42,101,5001 GRANT AVE,PHILADELPHIA,PA,19114-3154,19114
8404200328,BOT,demo_001.jpg,HANSBERRY GARDEN & NATURE CENTER,image/jpeg,HANSBERRY GARDEN & NATURE CENTER INC,,,123 WEST APSLEY STREET,PHILADELPHIA,PA,19144,19144,5150 WAYNE AVENUE,PHILADELPHIA,PA,19144,19144,,HTTP://HANSBERRYGARDEN.COM,HANSBERRY GARDEN & NATURE CENTER INC,201312,0,0,0,123 W APSLEY ST,PHILADELPHIA,PA,19144-3601,200407,,,,,-75.1695,40.02628,2,2,1,42,101,5150 WAYNE AVENUE,PHILADELPHIA,PA,19144,19144
8404200409,BOT,demo_001.jpg,AWBURY ARBORETUM,image/jpeg,AWBURY ARBORETUM ASSOCIATION INC,,,1 AWBURY RD,PHILADELPHIA,PA,19138-1505,19138,,,,,,2158492855,HTTP://AWBURY.ORG/,AWBURY ARBORETUM ASSOCIATION INC,201306,4,367246,367246,1 AWBURY RD,PHILADELPHIA,PA,19138-1505,198507,,,,,-75.16904,40.04854,2,2,1,42,101,1 AWBURY RD,PHILADELPHIA,PA,19138-1505,19138
8404200453,ART,demo_001.jpg,PHILADELPHIA MUSEUM OF ART,image/jpeg,PHILADELPHIA MUSEUM OF ART,,,PO BOX 7646,PHILADELPHIA,PA,19101-7646,19101,2600 BENJAMIN FRANKLIN PKWY,PHILADELPHIA,PA,19101-7646,19101,2157638100,HTTP://WWW.PHILAMUSEUM.ORG,PHILADELPHIA MUSEUM OF ART,201306,9,148647035,82564750,PO BOX 7646,PHILADELPHIA,PA,19101-7646,194310,,,,,-75.1794,39.96472,2,2,1,42,101,2600 BENJAMIN FRANKLIN PKWY,PHILADELPHIA,PA,19101-7646,19101
8404200456,SCI,demo_001.jpg,FRANKLIN INSTITUTE,image/jpeg,FRANKLIN INSTITUTE,INCL: FELS PLANETARIUM,,222 N 20TH ST,PHILADELPHIA,PA,19103-1115,19103,,,,,,2154481200,HTTPS://WWW.FI.EDU/,FRANKLIN INSTITUTE,201312,8,46199859,35616050,222 N 20TH ST,PHILADELPHIA,PA,19103-1115,192812,,,,,-75.1724,39.95775,2,2,1,42,101,222 N 20TH ST,PHILADELPHIA,PA,19103-1115,19103
8404200563,CMU,demo_001.jpg,PLEASE TOUCH MUSEUM,image/jpeg,PLEASE TOUCH MUSEUM,,,4231 AVE OF THE REPUBLIC AVE,PHILADELPHIA,PA,19131-3719,19131,,,,,,2155813181,HTTP://WWW.PLEASETOUCHMUSEUM.ORG,PLEASE TOUCH MUSEUM,201309,8,21807887,9514220,4231 AVE OF THE REPUBLIC,PHILADELPHIA,PA,19131-3719,197911,,,,,-75.21214,39.97953,2,2,1,42,101,4231 AVE OF THE REPUBLIC,PHILADELPHIA,PA,19131-3719,19131
8404200571,HST,demo_001.jpg,WYCK HOUSE,image/jpeg,WYCK ASSOCIATION,,,6026 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2112,19144,,,,,,2158481690,,WYCK ASSOCIATION,201312,5,657624,371206,6026 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2112,198008,,,,,-75.17869,40.03972,2,2,1,42,101,6026 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2112,19144
8404200647,HST,demo_001.jpg,NATIONAL CONSTITUTION CENTER,image/jpeg,NATIONAL CONSTITUTION CENTER,,,525 ARCH ST,PHILADELPHIA,PA,19106-1514,19106,,,,,,2154096600,HTTP://CONSTITUTIONCENTER.ORG/,NATIONAL CONSTITUTION CENTER,201409,8,24718196,22443988,525 ARCH ST,PHILADELPHIA,PA,19106-1514,198703,,,,,-75.14882,39.95271,2,2,1,42,101,525 ARCH ST,PHILADELPHIA,PA,19106-1514,19106
8404200749,HST,demo_001.jpg,INSTITUTE FOR BIBLICAL AND SCIENTIFIC STUDIES,image/jpeg,THE INSTITUTE FOR BIBLICAL AND SCIENTIFIC STUDIES,,,2424 E HAGERT ST,PHILADELPHIA,PA,19125-3031,19125,2424 E HAGERT ST,PHILADELPHIA,PA,19125-3031,19125,2154237374,,THE INSTITUTE FOR BIBLICAL AND SCIENTIFIC STUDIES,201312,3,45138,22057,2424 E HAGERT ST,PHILADELPHIA,PA,19125-3031,199504,,,,,-75.12335,39.97821,2,2,1,42,101,2424 E HAGERT ST,PHILADELPHIA,PA,19125-3031,19125
8404200963,HST,demo_001.jpg,ATWATER KENT MUSEUM,image/jpeg,ATWATER KENT MUSEUM,,,15 S 7TH ST,PHILADELPHIA,PA,19106-2313,19106,,,,,,2158431713,HTTP://WWW.PHILADELPHIAHISTORY.ORG,ATWATER KENT MUSEUM,,0,,,15 S 7TH ST,PHILADELPHIA,PA,19106-2313,198207,,,,,-75.15203,39.95035,2,2,1,42,101,15 S 7TH ST,PHILADELPHIA,PA,19106-2313,19106
8404201548,ART,demo_001.jpg,ROMANIAN FOLK ART MUSEUM,image/jpeg,ROMANIAN FOLK ART MUSEUM,,,1606 SPRUCE STREET,PHILADELPHIA,PA,19103,19103,,,,,,,HTTP://ROMANIANCULTURE.US,ROMANIAN FOLK ART MUSEUM,201407,0,0,0,1606 SPRUCE STREET,PHILADELPHIA,PA,19103-6739,198405,,,,,-75.16842,39.94726,2,2,1,42,101,1606 SPRUCE STREET,PHILADELPHIA,PA,19103-6739,19103
8404201650,HST,demo_001.jpg,MUSEUM OF NURSING HISTORY,image/jpeg,MUSEUM OF NURSING HISTORY,MUSEUM OF NURSING HISTORY,,1900 W OLNEY AVENUE,PHILADELPHIA,PA,19141,19141,,,,,,2158314760,HTTP://WWW.NURSINGHISTORY.ORG,MUSEUM OF NURSING HISTORY,201412,0,0,0,1900 W OLNEY AVE,PHILADELPHIA,PA,19141-1108,201402,,,,,-75.15246,40.03947,2,2,1,42,101,1900 W OLNEY AVE,PHILADELPHIA,PA,19141-1108,19141
8404201693,HST,demo_001.jpg,WELLS FARGO HISTORY MUSEUM,image/jpeg,WELLS FARGO HISTORY MUSEUM,,,123 SOUTH BROAD STREET,PHILADELPHIA,PA,10190,10190,123 SOUTH BROAD STREET,PHILADELPHIA,PA,10190,10190,2156706123,,,,,,,,,,,,,,,,-75.1638,39.95065,2,2,1,42,101,123 SOUTH BROAD STREET,PHILADELPHIA,PA,10190,10190
8409401154,HST,demo_001.jpg,MUSEUM OF THE AMERICAN REVOLUTION,image/jpeg,NATIONAL CENTER FOR THE AMERICAN REVOLUTION,THE AMERICAN REVOLUTION CENTER,,123 CHESTNUT ST SUITE 401,PHILADELPHIA,PA,19106,19106,123 CHESTNUT ST SUITE 401,PHILADELPHIA,PA,19106,19106,,HTTP://WWW.AMREVMUSEUM.ORG,,,,,,,,,,200301,,,,,-75.14361,39.94852,2,2,1,42,101,123 CHESTNUT ST SUITE 401,PHILADELPHIA,PA,19106,19106
8409500146,ZAW,demo_001.jpg,PHILADELPHIA ZOO,image/jpeg,PHILADELPHIA ZOO,,,3400 WEST GIRARD AVENUE,PHILADELPHIA,PA,19104-1196,19104,3400 WEST GIRARD AVENUE,PHILADELPHIA,PA,19104-1196,19104,2152431100,HTTP://WWW.PHILADELPHIAZOO.ORG,ZOOLOGICAL SOCIETY OF PHILADELPHIA,201402,9,67543924,48422307,3400 W GIRARD AVE,PHILADELPHIA,PA,19104-1139,194210,,,,,-75.19549,39.97509,2,2,1,42,101,3400 WEST GIRARD AVENUE,PHILADELPHIA,PA,19104-1196,19104
8409500804,SCI,demo_001.jpg,PLANETARIUM,image/jpeg,PLANETARIUM,,,211 S COLUMBUS BLVD & WALNUT ST,PHILADELPHIA,PA,19106,19106,211 S COLUMBUS BLVD & WALNUT ST,PHILADELPHIA,PA,19106,19106,,HTTP://WWW.PHILLYSEAPORT.ORG,,,,,,,,,,,,,,,-75.14765,39.94998,2,2,1,42,,211 S COLUMBUS BLVD & WALNUT ST,PHILADELPHIA,PA,19106,19106
8409501097,NAT,demo_001.jpg,ACADEMY OF NATURAL SCIENCES OF DREXEL UNIVERSITY,image/jpeg,DREXEL UNIVERSITY,,,1900 BENJAMIN FRANKLIN PARKWAY,PHILADELPHIA,PA,19103,19103,,,,,,2152991000,HTTP://WWW.ANSP.ORG/,DREXEL UNIVERSITY,201306,9,1014902481,938599729,3201 ARCH ST STE 400,PHILADELPHIA,PA,19104-2755,192708,212054,DREXEL UNIVERSITY,PHILADELPHIA,PA,-75.18805,39.95789,2,2,1,42,101,3201 ARCH ST STE 400,PHILADELPHIA,PA,19104-2755,19104
8409501191,NAT,demo_001.jpg,UNIVERSITY PENNSYLVANIA MUSEUM OF ARCHAEOLOGY AND ANTHROPOLOGY,image/jpeg,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,,,3260 SOUTH ST,PHILADELPHIA,PA,19104,19104,,,,,,2158984000,HTTP://WWW.PENN.MUSEUM/,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,201306,9,14857041004,0,3451 WALNUT ST RM 308,PHILADELPHIA,PA,19104-6205,194010,215062,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,-75.19276,39.95298,2,2,1,42,101,3451 WALNUT ST RM 308,PHILADELPHIA,PA,19104-6205,19104
8409501225,HST,demo_001.jpg,MARVIN SAMSON CENTER FOR THE HISTORY OF PHARMACY,image/jpeg,UNIVERSITY OF THE SCIENCES IN PHILADELPHIA,,,600 SOUTH 43RD STREET,PHILADELPHIA,PA,19104,19104,,,,,,2155968721,HTTP://WWW.USCIENCES.EDU/MUSEUM/,UNIVERSITY OF THE SCIENCES IN PHILADELPHIA,201406,9,144323204,127844381,600 S 43RD ST,PHILADELPHIA,PA,19104-4495,198206,215132,UNIVERSITY OF THE SCIENCES,PHILADELPHIA,PA,-75.20704,39.94689,2,2,1,42,101,600 S 43RD ST,PHILADELPHIA,PA,19104-4495,19104
8409501244,HST,demo_001.jpg,WEAVER HISTORICAL DENTAL MUSEUM,image/jpeg,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUC,,,3223 NORTH BROAD STREET,PHILADELPHIA,PA,19140,19140,,,,,,2157072816,,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUC,201306,9,2148727000,1404695000,1805 N BROAD ST WACHMAN,PHILADELPHIA,PA,19122-0000,192608,216339,TEMPLE UNIVERSITY,PHILADELPHIA,PA,-75.14631,39.97592,2,2,1,42,101,1805 N BROAD ST WACHMAN,PHILADELPHIA,PA,19122-0000,19122
8409502356,BOT,demo_001.jpg,MORRIS ARBORETUM OF THE UNIVERSITY OF PENNSLVANIA,image/jpeg,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,,,100 E NORTHWESTERN AVE,PHILADELPHIA,PA,19118,19118,,,,,,2152475777,,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,201306,9,14857041004,0,3451 WALNUT ST RM 308,PHILADELPHIA,PA,19104-6205,194010,215062,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,-75.19276,39.95298,2,2,1,42,101,3451 WALNUT ST RM 308,PHILADELPHIA,PA,19104-6205,19104
8409502794,ART,demo_001.jpg,ARTHUR ROSS GALLERY,image/jpeg,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,,,34TH & SPRUCE STREET,PHILADELPHIA,PA,19104,19104,,,,,,,,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,201306,9,14857041004,0,3451 WALNUT ST RM 308,PHILADELPHIA,PA,19104-6205,194010,215062,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,-75.19276,39.95298,2,2,1,42,101,3451 WALNUT ST RM 308,PHILADELPHIA,PA,19104-6205,19104
8409502808,ART,demo_001.jpg,GALLERIES AT MOORE COLLEGE OF ART AND DESIGN,image/jpeg,MOORE COLLEGE OF ART AND DESIGN,,,20TH AND THE PARKWAY,PHILADELPHIA,PA,19103,19103,,,,,,,,MOORE COLLEGE OF ART AND DESIGN,201406,8,22682057,23400556,20TH STREET AND THE PARK,PHILADELPHIA,PA,19103-0000,193412,214148,MOORE COLLEGE OF ART AND DESIGN,PHILADELPHIA,PA,-75.17835,39.94712,2,2,1,42,,20TH STREET AND THE PARK,PHILADELPHIA,PA,19103-0000,19103
8409503098,ART,demo_001.jpg,DWIGHT V. DOWLEY GALLERY,image/jpeg,CHESNUT HILL COLLEGE OF THE SISTERS OF ST JOSEPH,,,9601 GERMANTOWN AVENUE,PHILADELPHIA,PA,19118,19118,,,,,,2152487042,,CHESNUT HILL COLLEGE OF THE SISTERS OF ST JOSEPH,201406,9,55742530,53757627,9601 GERMANTOWN AVE,PHILADELPHIA,PA,19118-2643,194111,211583,CHESTNUT HILL COLLEGE,PHILADELPHIA,PA,-75.22657,40.08427,2,2,1,42,101,9601 GERMANTOWN AVE,PHILADELPHIA,PA,19118-2643,19118
8409503120,ART,demo_001.jpg,ELKINS PARK CAMPUS GALLERY,image/jpeg,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUC,,,1801 NORTH BROAD STREET,PHILADELPHIA,PA,19122,19122,,,,,,,HTTP://TYLER.TEMPLE.EDU/,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUC,201306,9,2148727000,1404695000,1805 N BROAD ST WACHMAN,PHILADELPHIA,PA,19122-0000,192608,216339,TEMPLE UNIVERSITY,PHILADELPHIA,PA,-75.14631,39.97592,2,2,1,42,101,1805 N BROAD ST WACHMAN,PHILADELPHIA,PA,19122-0000,19122
8409503312,ART,demo_001.jpg,GILROY ROBERTS GALLERY,image/jpeg,GILROY ROBERTS GALLERY,,,1700 SPRING GARDEN STREET,PHILADELPHIA,PA,19130,19130,,,,,,2157518042,HTTP://WWW.CCP.EDU/CAMPUS-LIFE/ART-AROUND-COLLEGE/GILROY-ROBERTS-GALLERY,,,,,,,,,,,215239,COMMUNITY COLLEGE OF PHILADELPHIA,PHILADELPHIA,PA,-75.16627,39.9629,2,2,1,42,101,1700 SPRING GARDEN STREET,PHILADELPHIA,PA,19130,19130
8409503445,ART,demo_001.jpg,INSTITUTE OF CONTEMPORARY ART,image/jpeg,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,,,34TH & SPRUCE STREET,PHILADELPHIA,PA,19104,19104,,,,,,,,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,201306,9,14857041004,0,3451 WALNUT ST RM 308,PHILADELPHIA,PA,19104-6205,194010,215062,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,-75.19276,39.95298,2,2,1,42,101,3451 WALNUT ST RM 308,PHILADELPHIA,PA,19104-6205,19104
8409503751,ART,demo_001.jpg,MUSEUM OF AMERICAN ART,image/jpeg,PENNSYLVANIA ACADEMY OF THE FINE ARTS,PENNSYLVANIA ACADEMY OF THE FINE ARTS,,118 NORTH BROAD STREET,PHILADELPHIA,PA,19102,19102,,,,,,2159727600,HTTPS://WWW.PAFA.ORG/,PENNSYLVANIA ACADEMY OF THE FINE ARTS,201306,8,20260676,16622377,128 N BROAD ST,PHILADELPHIA,PA,19102-1424,192812,214971,PENNSYLVANIA ACADEMY OF THE FINE ARTS,PHILADELPHIA,PA,-75.16304,39.95562,2,2,1,42,101,128 N BROAD ST,PHILADELPHIA,PA,19102-1424,19102
8409503971,ART,demo_001.jpg,ROSENWALD-WOLD GALLERY,image/jpeg,UNIVERSITY OF THE ARTS,,,333 SOUTH BROAD STREET,PHILADELPHIA,PA,19107,19107,,,,,,2157176480,HTTP://WWW.UARTS.EDU/ABOUT/ROSENWALD-WOLF-GALLERY,UNIVERSITY OF THE ARTS,201406,9,106076848,98850858,320 S BROAD ST,PHILADELPHIA,PA,19102-4901,196409,215105,UNIVERSITY OF THE ARTS,PHILADELPHIA,PA,-75.16555,39.94597,2,2,1,42,101,320 S BROAD ST,PHILADELPHIA,PA,19102-4901,19102
8409504203,ART,demo_001.jpg,TYLER GALLERY,image/jpeg,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUC,,,2001 NORTH 13TH STREET,PHILADELPHIA,PA,19122,19122,,,,,,2157779000,HTTP://TYLER.TEMPLE.EDU/,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUC,201306,9,2148727000,1404695000,1805 N BROAD ST WACHMAN,PHILADELPHIA,PA,19122-0000,192608,216339,TEMPLE UNIVERSITY,PHILADELPHIA,PA,-75.14631,39.97592,2,2,1,42,101,1805 N BROAD ST WACHMAN,PHILADELPHIA,PA,19122-0000,19122
8409504244,ART,demo_001.jpg,UNIVERSITY GALLERY,image/jpeg,ST JOSEPHS UNIVERSITY,,,5600 CITY AVENUE,PHILADELPHIA,PA,19131,19131,,,,,,,,ST JOSEPHS UNIVERSITY,201405,9,310576371,307891910,5600 CITY AVE,PHILADELPHIA,PA,19131-1308,201011,215770,SAINT JOSEPH'S UNIVERSITY,PHILADELPHIA,PA,-75.23897,39.99525,2,2,1,42,101,5600 CITY AVE,PHILADELPHIA,PA,19131-1308,19131
8409504367,ART,demo_001.jpg,WOODMERE ART MUSEUM,image/jpeg,CHESNUT HILL COLLEGE OF THE SISTERS OF ST JOSEPH,,,9201 GERMANTOWN AVENUE,PHILADELPHIA,PA,19118,19118,,,,,,2152487183,,CHESNUT HILL COLLEGE OF THE SISTERS OF ST JOSEPH,201406,9,55742530,53757627,9601 GERMANTOWN AVE,PHILADELPHIA,PA,19118-2643,194111,211583,CHESTNUT HILL COLLEGE,PHILADELPHIA,PA,-75.22657,40.08427,2,2,1,42,101,9601 GERMANTOWN AVE,PHILADELPHIA,PA,19118-2643,19118
8409503554,ART,demo_001.jpg,LA SALLE UNIVERSITY ART MUSEUM,image/jpeg,LA SALLE UNIVERSITY,,,1900 WEST OLNEY AVENUE,PHILEDELPHIA,PA,19141,19141,,,,,,2159511221,,LA SALLE UNIVERSITY,201405,9,222169070,201702793,1900 W OLNEY AVE,PHILADELPHIA,PA,19141-1108,194403,213367,LA SALLE UNIVERSITY,PHILADELPHIA,PA,-75.15246,40.03947,2,2,1,42,101,1900 W OLNEY AVE,PHILADELPHIA,PA,19141-1108,19141
8404200035,GMU,demo_001.jpg,STENTON MUSEUM,image/jpeg,STENTON MUSEUM,,,4601 NORTH 18TH STREET,PHILADELPHIA,PA,19140-1026,19140,,,,,,2153297312,HTTP://STENTON.ORG/,,,,,,,,,,,,,,,-75.15451,40.02379,2,2,1,42,101,4601 NORTH 18TH STREET,PHILADELPHIA,PA,19140-1026,19140
8404200068,GMU,demo_001.jpg,RODIN MUSEUM,image/jpeg,RODIN MUSEUM,,,BENJAMIN FRANKLIN PKWY,PHILADELPHIA,PA,19103,19103,2154 BENJAMIN FRANKLIN PKWY,PHILADELPHIA,PA,19103,19103,2157638100,HTTP://WWW.RODINMUSEUM.ORG/,,,,,,,,,,,,,,,-75.17835,39.94712,2,2,1,42,,2154 BENJAMIN FRANKLIN PKWY,PHILADELPHIA,PA,19103,19103
8404200095,GMU,demo_001.jpg,ROSENBACH MUSEUM & LIBRARY,image/jpeg,ROSENBACH MUSEUM & LIBRARY,,,2010 DELANCEY PLACE,PHILADELPHIA,PA,19103-6584,19103,,,,,,,,,,,,,,,,,,,,,,-75.17501,39.94728,2,2,1,42,101,2010 DELANCEY PLACE,PHILADELPHIA,PA,19103-6584,19103
8404200114,GMU,demo_001.jpg,NATIONAL MUSEUM OF MURALS AND MOSAICS,image/jpeg,NATIONAL MUSEUM OF MURALS AND MOSAICS,,,748 S FRONT ST,PHILADELPHIA,PA,19147,19147,,,,,,2159238891,,,,,,,,,,,,,,,,-75.14466,39.93866,2,2,1,42,101,748 S FRONT ST,PHILADELPHIA,PA,19147,19147
